Neighborhood,Latitude,Longitude
"Mount Albert, New Zealand",-36.884799999999984,174.71503000000007
Mount Eden,-36.88360167999997,174.7542374830001
"Mount Wellington, New Zealand",-36.91375999999997,174.84049000000005
Murrays Bay,-36.731651545999966,174.7463499580001
"Narrow Neck, New Zealand",-36.81542147599998,174.79934172700007
New Lynn,-36.91303689899996,174.67881343600004
"New Windsor, New Zealand",-36.90530967299998,174.71278691300006
"Newmarket, New Zealand",-36.86741022899997,174.77638470500005
"Newton, New Zealand",-36.849999999999966,174.7500000000001
"North Harbour, New Zealand",-36.81851999999998,174.62941000000012
Northcote Central,-36.79819999999995,174.7301900000001
"Northcote, New Zealand",-36.80081999999993,174.75791000000004
Northcross,-36.710220937999964,174.72765288300002
"One Tree Hill, New Zealand",-36.90461324399996,174.78918725100004
Onehunga,-36.92059910099994,174.79065501900004
Ōpaheke,-37.108199999999954,175.00020000000006
Orakei,-36.849999999999966,174.81667000000004
Oranga,-36.908199999999965,174.79019000000005
Oratia,-36.927315473999954,174.61179251900012
Orere Point,-36.94819999999993,175.24020000000007
Ōtāhuhu,-36.94390534499996,174.84522584800004
Ōtara,-36.96216999999996,174.87485000000004
Oteha,-36.71968318099994,174.71923591100006
Owairaka,-36.88819999999998,174.71019000000013
Pahurehure,-37.05819999999994,174.92019000000005
Pakuranga,-36.91453774799993,174.87292413700004
Pakuranga Heights,-36.91225803399993,174.89330567600007
"Panmure, New Zealand",-36.90056999999996,174.8557800000001
Papakura,-35.65817999999996,174.05018000000007
Papakura City,-35.65817999999996,174.05018000000007
Papakura North,-35.99999999999994,174.16667000000007
Papatoetoe,-36.97691968699996,174.8553791180001
Parau,-36.966669999999965,174.6166700000001
Paremoremo,-36.766669999999976,174.66667000000007
"Parnell, New Zealand",-36.855069999999955,174.78020000000004
"Penrose, New Zealand",-36.909689999999955,174.81452000000002
"Pinehill, New Zealand",-36.731440824999936,174.72356648000004
Point Chevalier,-36.866296869999985,174.70642466700008
Point England,-36.88395805499994,174.8646947860001
"Ponsonby, New Zealand",-36.848139999999944,174.7437000000001
Rānui,-36.865025886999945,174.60132633800004
"Red Beach, New Zealand",-36.69486999999998,174.75065000000006
"Red Hill, New Zealand",-36.84818999999993,175.71021000000007
Remuera,-36.87740424799995,174.80549186300004
"Rosebank, Auckland",-36.88400231079947,174.6819844255679
"Rosedale, Auckland",-36.746499642999936,174.71522120300006
"Rosehill, New Zealand",-36.84839904099994,174.76438785300002
Mount Roskill,-36.916066143999956,174.73653593900008
Rothesay Bay,-36.72416311499995,174.74649512200006
Royal Heights,-36.87703554253137,174.74342091048524
"Royal Oak, New Zealand",-36.91065336899993,174.77232995700012
Saint Heliers,-36.849999999999966,174.8666700000001
"Saint Marys Bay, New Zealand",-36.83819999999997,174.7401900000001
